date,breaking news,breaking news near me,breaking news alaska earthquake,breaking news abc,breaking news app,isPartial
2017-04-30,71,0,0,1,0,False
2017-05-07,66,0,0,1,0,False
2017-05-14,74,0,0,1,0,False
2017-05-21,87,0,0,1,0,False
2017-05-28,81,0,0,1,0,False
2017-06-04,90,0,0,1,0,False
2017-06-11,85,0,0,1,0,False
2017-06-18,80,0,0,1,0,False
2017-06-25,74,0,0,1,0,False
2017-07-02,77,0,0,1,0,False
2017-07-09,77,0,0,1,0,False
2017-07-16,77,0,0,1,0,False
2017-07-23,81,0,0,1,0,False
2017-07-30,78,0,0,1,0,False
2017-08-06,93,0,0,1,0,False
2017-08-13,94,0,0,1,0,False
2017-08-20,92,0,0,1,0,False
2017-08-27,96,0,0,1,0,False
2017-09-03,89,0,0,1,0,False
2017-09-10,88,0,0,1,0,False
2017-09-17,83,0,0,1,0,False
2017-09-24,84,0,0,1,0,False
2017-10-01,92,0,0,1,0,False
2017-10-08,81,0,0,1,0,False
2017-10-15,79,0,0,1,0,False
2017-10-22,76,0,0,1,0,False
2017-10-29,91,0,0,1,0,False
2017-11-05,81,0,0,1,0,False
2017-11-12,79,0,0,1,0,False
2017-11-19,75,0,0,1,0,False
2017-11-26,79,0,0,1,0,False
2017-12-03,83,0,0,1,0,False
2017-12-10,79,0,0,1,0,False
2017-12-17,80,0,0,1,0,False
2017-12-24,70,0,0,1,0,False
2017-12-31,79,0,0,1,0,False
2018-01-07,75,0,0,1,0,False
2018-01-14,78,0,0,1,0,False
2018-01-21,73,0,0,1,0,True
